,Report Number,Occur Date,Occur Time,Neighborhood
13859,192100470,2019-07-26,1800,North Buckhead
13860,192101761,2019-07-17,2300,Old Fourth Ward
13861,192100365,2019-07-18,1200,Ridgewood Heights
13862,192100539,2019-07-27,1800,Blair Villa/Poole Creek
13863,192100990,2019-07-29,1257,Betmar LaVilla
13864,192111624,2019-07-30,1200,Collier Heights
13865,192111830,2019-07-29,1600,Glenrose Heights
13866,192110004,2019-07-29,2000,Candler Park
13867,192110010,2019-07-29,2210,Princeton Lakes
13868,192110027,2019-07-29,2030,Midtown
13869,192110083,2019-07-29,2200,Princeton Lakes
13870,192110110,2019-07-29,2100,Midtown
13874,192110610,2019-07-29,2230,Ansley Park
13876,192110762,2019-07-29,2200,Hammond Park
13877,192111063,2019-07-30,1145,Peachtree Heights West
13878,192111325,2019-07-30,1200,Peoplestown
13879,192111702,2019-07-30,1500,Underwood Hills
13880,192111901,2019-07-29,2100,Sweet Auburn
13881,192111939,2019-07-30,1700,Midtown
13882,192112114,2019-07-30,1800,Southwest
13883,192112313,2019-07-30,1915,Buckhead Village
13884,192112315,2019-07-30,1930,Ardmore
13885,192112341,2019-07-30,2110,Old Fourth Ward
13886,192112438,2019-07-28,2300,Oakland City
13887,192112499,2019-07-30,2105,Poncey-Highland
13888,192112504,2019-07-29,2000,Sweet Auburn
13889,192102065,2019-07-29,2252,Midtown
13892,192110574,2019-07-29,2045,Pine Hills
13893,192112464,2019-07-27,2300,Hunter Hills
13897,192111776,2019-07-27,1815,Buckhead Forest
13899,192111007,2019-07-30,1200,Ben Hill
13902,192110451,2019-07-29,1400,Downtown
13903,192110485,2019-07-29,1930,Lakewood
13905,192110820,2019-07-03,1200,Hammond Park
13908,192111706,2019-07-30,1657,Downtown
13909,192112209,2019-07-30,1940,Midtown
13911,192111241,2019-07-30,1432,Vine City
13912,192102056,2019-07-29,2220,Southwest
13913,192112149,2019-07-30,1937,other
13914,192111299,2019-07-30,1440,Reynoldstown
13915,192111348,2019-07-30,1500,Westview
13917,192112536,2019-07-30,2335,The Villages at East Lake
13919,192111424,2019-07-30,1538,Lenox
13920,192111677,2019-07-23,1700,Atlantic Station
13921,192111761,2019-07-30,1710,Greenbriar
13922,192112111,2019-07-30,1930,Edgewood
13924,192111123,2019-07-30,1331,Thomasville Heights
13925,192102149,2019-07-29,1350,The Villages at Castleberry Hill
13926,192110918,2019-07-27,1645,other
13927,192111347,2019-07-30,1300,Ormewood Park
13928,192111948,2019-07-30,1700,Edgewood
13930,192110826,2019-07-08,1100,Hills Park
13931,192112330,2019-07-30,2100,other
13933,192110537,2019-07-29,1730,Greenbriar
13934,192110402,2019-07-29,2030,Collier Heights
13935,192110565,2019-07-29,1800,Campbellton Road
13936,192110942,2019-07-25,1500,other
13937,192111294,2019-07-30,1200,East Atlanta
13939,192112061,2019-07-29,1900,Carey Park
13940,192120982,2019-07-31,1045,Buckhead Heights
13941,192121175,2019-07-31,1310,West End
13942,192121314,2019-07-31,1500,Reynoldstown
13943,192121348,2019-07-31,1030,Buckhead Heights
13945,192121776,2019-07-31,1714,Thomasville Heights
13946,192121825,2019-07-31,1015,Atlantic Station
13947,192122382,2019-07-31,1745,Custer/McDonough/Guice
13950,192122296,2019-07-31,2028,Vine City
13951,192121112,2019-07-31,1306,Greenbriar
13952,192121140,2019-07-30,1234,Adair Park
13953,192121283,2019-07-31,1445,Downtown
13954,192121411,2019-07-31,1500,Midtown
13955,192121450,2019-07-31,1551,Downtown
